1,2,3,4,5,6,7,8,9,10
2,3,4,5,6,7,8,9,10,11
3,4,5,6,7,8,9,10,11,12
4,5,6,7,8,9,10,11,12,13
5,6,7,8,9,10,11,12,13,14
6,7,8,9,10,11,12,13,14,15
7,8,9,10,11,12,13,14,15,16
8,9,10,11,12,13,14,15,16,17
9,10,11,12,13,14,15,16,17,18
10,11,12,13,14,15,16,17,18,19
11,12,13,14,15,16,17,18,19,20
12,13,14,15,16,17,18,19,20,21
13,14,15,16,17,18,19,20,21,22
14,15,16,17,18,19,20,21,22,23
15,16,17,18,19,20,21,22,23,24
16,17,18,19,20,21,22,23,24,25
17,18,19,20,21,22,23,24,25,26
18,19,20,21,22,23,24,25,26,27
19,20,21,22,23,24,25,26,27,28
20,21,22,23,24,25,26,27,28,29
21,22,23,24,25,26,27,28,29,30
22,23,24,25,26,27,28,29,30,31
23,24,25,26,27,28,29,30,31,32
24,25,26,27,28,29,30,31,32,33
25,26,27,28,29,30,31,32,33,34
26,27,28,29,30,31,32,33,34,35
27,28,29,30,31,32,33,34,35,36
28,29,30,31,32,33,34,35,36,37
29,30,31,32,33,34,35,36,37,38
30,31,32,33,34,35,36,37,38,39
31,32,33,34,35,36,37,38,39,40
32,33,34,35,36,37,38,39,40,41
33,34,35,36,37,38,39,40,41,42
34,35,36,37,38,39,40,41,42,43
35,36,37,38,39,40,41,42,43,44
36,37,38,39,40,41,42,43,44,45
37,38,39,40,41,42,43,44,45,46
38,39,40,41,42,43,44,45,46,47
39,40,41,42,43,44,45,46,47,48
40,41,42,43,44,45,46,47,48,49
41,42,43,44,45,46,47,48,49,50
42,43,44,45,46,47,48,49,50,51
43,44,45,46,47,48,49,50,51,52
44,45,46,47,48,49,50,51,52,53
45,46,47,48,49,50,51,52,53,54
46,47,48,49,50,51,52,53,54,55
47,48,49,50,51,52,53,54,55,56
48,49,50,51,52,53,54,55,56,57
49,50,51,52,53,54,55,56,57,58
50,51,52,53,54,55,56,57,58,59
51,52,53,54,55,56,57,58,59,60
52,53,54,55,56,57,58,59,60,61
53,54,55,56,57,58,59,60,61,62
54,55,56,57,58,59,60,61,62,63
55,56,57,58,59,60,61,62,63,64
56,57,58,59,60,61,62,63,64,65
57,58,59,60,61,62,63,64,65,66
58,59,60,61,62,63,64,65,66,67
59,60,61,62,63,64,65,66,67,68
60,61,62,63,64,65,66,67,68,69
61,62,63,64,65,66,67,68,69,70
62,63,64,65,66,67,68,69,70,71
63,64,65,66,67,68,69,70,71,72
